country,total_earnings,players,game
China,"$76,536,565.41 ",609,Dota 2
Russian Federation,"$24,967,656.90 ",531,Dota 2
Ukraine,"$16,999,134.45 ",206,Dota 2
Finland,"$16,896,850.35 ",84,Dota 2
United States,"$14,723,036.90 ",208,Dota 2
Sweden,"$12,695,243.89 ",135,Dota 2
Denmark,"$12,354,863.61 ",54,Dota 2
Malaysia,"$11,914,185.87 ",156,Dota 2
Philippines,"$8,770,596.15 ",145,Dota 2
Germany,"$8,007,523.86 ",111,Dota 2
Australia,"$7,985,433.03 ",111,Dota 2
Canada,"$7,412,239.33 ",99,Dota 2
Jordan,"$7,213,321.92 ",22,Dota 2
France,"$5,844,320.30 ",31,Dota 2
Bulgaria,"$5,148,780.59 ",24,Dota 2
Pakistan,"$4,462,267.26 ",34,Dota 2
Lebanon,"$4,311,423.65 ",19,Dota 2
"Korea, Republic of","$3,839,752.54 ",114,Dota 2
Estonia,"$3,624,137.82 ",4,Dota 2
Peru,"$3,528,873.64 ",135,Dota 2
Israel,"$3,248,111.99 ",4,Dota 2
Romania,"$2,734,356.18 ",50,Dota 2
Singapore,"$2,583,023.72 ",53,Dota 2
Poland,"$1,805,250.76 ",54,Dota 2
Brazil,"$1,803,409.39 ",152,Dota 2
Thailand,"$1,399,426.83 ",81,Dota 2
Indonesia,"$1,383,270.15 ",93,Dota 2
Macao,"$1,337,308.37 ",1,Dota 2
North Macedonia,"$1,282,709.92 ",3,Dota 2
Belarus,"$1,258,239.55 ",56,Dota 2
Greece,"$1,024,752.94 ",20,Dota 2
Kyrgyzstan,"$516,169.13 ",32,Dota 2
Netherlands,"$508,741.58 ",24,Dota 2
Bolivia,"$483,548.99 ",8,Dota 2
Czech Republic,"$411,868.18 ",59,Dota 2
"Moldova, Republic of","$410,117.21 ",1,Dota 2
Kazakhstan,"$310,196.00 ",86,Dota 2
Norway,"$303,760.72 ",6,Dota 2
Slovakia,"$159,769.57 ",18,Dota 2
Serbia,"$152,809.03 ",37,Dota 2
Mongolia,"$134,854.04 ",32,Dota 2
United Kingdom,"$119,728.41 ",130,Dota 2
Argentina,"$114,366.94 ",14,Dota 2
Viet Nam,"$105,075.00 ",44,Dota 2
India,"$101,768.71 ",108,Dota 2
Lao People's Democratic Republic,"$98,900.94 ",26,Dota 2
Bosnia and Herzegovina,"$90,652.89 ",5,Dota 2
Mexico,"$82,095.48 ",12,Dota 2
Austria,"$76,668.91 ",21,Dota 2
Croatia,"$59,084.38 ",9,Dota 2
South Africa,"$55,764.43 ",35,Dota 2
Turkey,"$49,239.44 ",28,Dota 2
Myanmar,"$26,156.75 ",15,Dota 2
Georgia,"$21,538.24 ",9,Dota 2
Ecuador,"$20,907.58 ",8,Dota 2
Egypt,"$20,030.66 ",12,Dota 2
Japan,"$20,000.00 ",5,Dota 2
Belgium,"$17,427.08 ",1,Dota 2
Uruguay,"$16,480.67 ",1,Dota 2
Slovenia,"$15,635.25 ",1,Dota 2
Albania,"$11,437.92 ",7,Dota 2
Chile,"$11,150.39 ",11,Dota 2
Cambodia,"$10,822.50 ",14,Dota 2
Uzbekistan,"$9,461.31 ",6,Dota 2
New Zealand,"$5,742.29 ",16,Dota 2
Nepal,"$4,936.40 ",15,Dota 2
Hungary,"$4,486.87 ",16,Dota 2
Venezuela,"$3,650.00 ",2,Dota 2
Switzerland,"$3,463.04 ",15,Dota 2
"Kosovo, Republic of","$3,200.00 ",4,Dota 2
Syrian Arab Republic,"$2,995.20 ",5,Dota 2
Portugal,"$1,997.84 ",1,Dota 2
Italy,"$1,927.90 ",4,Dota 2
United Arab Emirates,"$1,733.65 ",4,Dota 2
Bahrain,"$1,662.44 ",1,Dota 2
Armenia,"$1,661.45 ",6,Dota 2
Lithuania,"$1,614.95 ",6,Dota 2
"Iran, Islamic Republic of","$1,425.62 ",27,Dota 2
Bangladesh,"$1,335.40 ",6,Dota 2
Brunei Darussalam,"$1,000.00 ",5,Dota 2
Colombia,$733.33 ,1,Dota 2
Iraq,$657.70 ,1,Dota 2
Spain,$600.00 ,1,Dota 2
"Taiwan, Republic of China",$516.80 ,2,Dota 2
Ireland,$407.05 ,3,Dota 2
Azerbaijan,$294.60 ,15,Dota 2
Malta,$239.00 ,2,Dota 2
Bermuda,$200.00 ,1,Dota 2
Sri Lanka,$155.95 ,5,Dota 2
Iceland,$131.00 ,1,Dota 2
Montenegro,$100.01 ,1,Dota 2
Cuba,$100.00 ,5,Dota 2
Algeria,$57.88 ,1,Dota 2
Latvia,$55.72 ,1,Dota 2
Saudi Arabia,$45.56 ,2,Dota 2
Denmark,"$18,579,920.73 ",534,Counter-Strike: Global Offensive
United States,"$12,953,260.01 ",2284,Counter-Strike: Global Offensive
Sweden,"$11,657,319.94 ",898,Counter-Strike: Global Offensive
Russian Federation,"$11,296,091.86 ",762,Counter-Strike: Global Offensive
