year,country,players,prize_pool
1998,United States,28,"$94,250.00"
1998,Canada,28,"$12,400.00"
1998,United Kingdom,28,$300.00
1998,Sweden,28,$150.00
1999,United States,28,"$124,261.09"
1999,"Korea, Republic of",28,"$75,876.40"
1999,Canada,28,"$60,416.35"
1999,United Kingdom,28,"$11,600.00"
1999,Sweden,28,"$3,000.00"
2000,United States,92,"$247,563.40"
2000,"Korea, Republic of",92,"$206,619.75"
2000,Sweden,92,"$86,874.14"
2000,Canada,92,"$37,427.49"
2000,United Kingdom,92,"$21,252.70"
2000,"Taiwan, Republic of China",92,"$15,000.00"
2000,Norway,92,"$9,280.86"
2000,Germany,92,"$8,476.33"
2000,Denmark,92,"$7,930.39"
2000,Hong Kong,92,"$7,692.00"
2000,Russian Federation,92,"$6,757.99"
2000,Netherlands,92,"$6,087.63"
2000,Australia,92,"$4,556.80"
2000,Finland,92,"$2,190.84"
2000,Venezuela,92,"$1,000.00"
2000,Hungary,92,$876.33
2000,France,92,$701.05
2000,New Zealand,92,$500.00
2000,Croatia,92,$438.17
2000,Singapore,92,$400.00
2000,South Africa,92,$365.53
2000,Spain,92,$300.00
2000,Northern Mariana Islands,92,$300.00
2001,United States,74,"$196,572.65"
2001,"Korea, Republic of",74,"$160,590.09"
2001,Sweden,74,"$97,170.85"
2001,Germany,74,"$77,020.45"
2001,Canada,74,"$54,525.00"
2001,Russian Federation,74,"$42,230.48"
2001,"Taiwan, Republic of China",74,"$40,500.00"
2001,France,74,"$28,175.56"
2001,Denmark,74,"$18,099.14"
2001,China,74,"$17,000.00"
2001,Italy,74,"$16,525.00"
2001,Norway,74,"$15,882.21"
2001,Finland,74,"$15,110.55"
2001,United Kingdom,74,"$9,913.59"
2001,Netherlands,74,"$9,795.37"
2001,Kazakhstan,74,"$7,500.00"
2001,Australia,74,"$5,985.30"
2001,Austria,74,"$5,600.00"
2001,Hong Kong,74,"$5,000.00"
2001,Japan,74,"$3,000.00"
2001,Brazil,74,"$2,539.67"
2001,Singapore,74,"$2,000.00"
2001,Argentina,74,$955.84
2001,Belgium,74,$756.97
2001,Switzerland,74,$625.00
2001,Malaysia,74,$150.00
2001,Ireland,74,$131.97
2001,Greece,74,$75.00
2001,Lithuania,74,$50.00
2002,China,43,"$292,100.00"
2002,"Korea, Republic of",43,"$177,886.16"
2002,United States,43,"$169,229.30"
2002,Germany,43,"$120,206.98"
2002,Russian Federation,43,"$110,308.90"
2002,Sweden,43,"$102,648.92"
2002,Canada,43,"$63,866.68"
2002,France,43,"$29,031.16"
2002,Norway,43,"$28,235.00"
2002,Japan,43,"$26,500.00"
2002,United Kingdom,43,"$24,886.70"
2002,Malaysia,43,"$18,300.00"
2002,Netherlands,43,"$14,083.33"
2002,"Taiwan, Republic of China",43,"$11,000.00"
2002,Spain,43,"$10,300.00"
2002,Denmark,43,"$6,193.46"
2002,Austria,43,"$5,093.89"
2002,Poland,43,"$5,033.33"
2002,New Zealand,43,"$5,000.00"
2002,Italy,43,"$4,500.00"
2002,Finland,43,"$4,244.80"
2002,Brazil,43,"$3,536.60"
2002,Kazakhstan,43,"$3,500.00"
2002,Argentina,43,"$3,400.00"
2002,Australia,43,"$3,250.00"
2002,Czech Republic,43,"$3,000.00"
2002,Hong Kong,43,"$1,750.00"
2002,Ukraine,43,"$1,750.00"
2002,Viet Nam,43,"$1,589.83"
2002,Chile,43,"$1,500.00"
2002,Singapore,43,"$1,250.00"
2002,Portugal,43,"$1,000.00"
2002,South Africa,43,"$1,000.00"
2002,Lithuania,43,$600.00
2002,Israel,43,$300.00
2002,Serbia,43,$300.00
2002,Jamaica,43,$83.33
2002,Bulgaria,43,$50.00
2003,Sweden,101,"$365,286.70"
2003,"Korea, Republic of",101,"$310,600.11"
2003,United States,101,"$272,474.28"
2003,Germany,101,"$239,864.77"
2003,Norway,101,"$73,150.51"
2003,Russian Federation,101,"$62,292.20"
2003,France,101,"$46,654.67"
2003,Netherlands,101,"$37,592.42"
2003,Bulgaria,101,"$37,558.38"
2003,China,101,"$33,150.00"
2003,United Kingdom,101,"$32,658.36"
2003,Spain,101,"$30,122.92"
2003,"Taiwan, Republic of China",101,"$29,350.00"
2003,Canada,101,"$28,991.71"
2003,Denmark,101,"$25,393.92"
2003,Italy,101,"$23,892.18"
2003,Austria,101,"$15,658.35"
2003,Brazil,101,"$14,375.50"
2003,Kazakhstan,101,"$13,380.00"
2003,Finland,101,"$11,352.45"
2003,Poland,101,"$10,830.38"
2003,Ukraine,101,"$7,494.05"
2003,Romania,101,"$5,287.18"
2003,Australia,101,"$5,030.00"
2003,Czech Republic,101,"$4,981.80"
2003,Argentina,101,"$4,130.00"
2003,Belarus,101,"$2,869.55"
2003,Serbia,101,"$2,300.00"
2003,Singapore,101,"$2,000.00"
2003,Belgium,101,"$1,507.14"
2003,Iceland,101,"$1,500.00"
2003,Lithuania,101,"$1,400.00"
2003,Hong Kong,101,"$1,195.36"
2003,Israel,101,$650.00
2003,Greece,101,$431.00
2003,Hungary,101,$368.22
2003,Viet Nam,101,$327.77
2003,Croatia,101,$240.62
2003,Portugal,101,$210.00
2003,Ireland,101,$100.02
2003,Mexico,101,$100.00
2003,Estonia,101,$50.00
2003,Japan,101,$0.00
2004,"Korea, Republic of",227,"$786,279.02"
2004,United States,227,"$458,179.07"
2004,Sweden,227,"$311,233.52"
2004,Germany,227,"$286,897.24"
2004,China,227,"$192,627.92"
2004,Russian Federation,227,"$140,988.34"
2004,Netherlands,227,"$123,888.74"
2004,Denmark,227,"$110,907.82"
2004,Brazil,227,"$66,358.45"
2004,France,227,"$63,487.90"
2004,Finland,227,"$55,440.40"
2004,Norway,227,"$49,682.24"
2004,Canada,227,"$36,791.62"
2004,Austria,227,"$33,292.85"
2004,Bulgaria,227,"$16,714.26"
2004,Poland,227,"$16,019.78"
2004,United Kingdom,227,"$14,988.84"
2004,Singapore,227,"$14,800.00"
2004,Venezuela,227,"$14,300.00"
2004,Ukraine,227,"$14,137.75"
2004,Italy,227,"$10,680.00"
2004,Portugal,227,"$8,928.00"
