year,game,prizepool,tournaments,players
1998,Quake II,"$66,200.00",4,16
1998,QuakeWorld,"$43,500.00",3,12
1998,StarCraft: Brood War,"$20,000.00",1,8
1998,Age of Empires,"$2,000.00",1,1
1999,StarCraft: Brood War,"$139,553.84",11,40
1999,Descent 3,"$50,000.00",1,1
1999,Quake III Arena,"$43,200.00",2,15
1999,Quake II,"$42,400.00",2,12
2000,Quake III Arena,"$415,237.82",28,97
2000,StarCraft: Brood War,"$140,229.03",10,36
2000,Age of Empires II,"$113,768.30",16,37
2000,FIFA 2000,"$50,000.00",1,4
2000,Counter-Strike,"$23,763.33",2,62
2000,Age of Empires,"$9,500.00",1,4
2000,Doom II: Hell on Earth,$0.00,1,3
2000,Marvel vs. Capcom 2,$0.00,1,3
2000,Street Fighter Alpha 2,$0.00,1,3
2000,Street Fighter Alpha 3,$0.00,1,3
2000,Street Fighter III: 3rd Strike,$0.00,1,3
2000,Super Street Fighter II Turbo,$0.00,1,3
2001,Counter-Strike,"$346,592.44",13,222
2001,Age of Empires II,"$160,541.29",17,48
2001,Quake III Arena,"$147,736.74",14,48
2001,StarCraft: Brood War,"$91,893.99",9,50
2001,FIFA 2001,"$46,000.00",2,9
2001,Unreal Tournament,"$46,000.00",2,9
2001,Aliens versus Predator 2,"$40,000.00",1,1
2001,QuakeWorld,"$15,000.00",1,8
2001,Capcom vs. SNK,$0.00,1,3
2001,Marvel vs. Capcom 2,$0.00,1,3
2001,Street Fighter Alpha 3,$0.00,1,3
2001,Super Street Fighter II Turbo,$0.00,1,3
2002,Counter-Strike,"$400,994.88",14,351
2002,Dota 2,"$300,000.00",1,40
2002,StarCraft: Brood War,"$132,944.26",10,36
2002,Quake III Arena,"$102,206.40",4,24
2002,Age of Empires II,"$92,866.00",28,37
2002,WarCraft III,"$74,740.65",6,35
2002,Return to Castle Wolfenstein,"$67,424.30",2,30
2002,FIFA 2002 World Cup,"$43,000.00",1,8
2002,Unreal Tournament,"$43,000.00",2,8
2002,Unreal Tournament 2003,"$34,000.00",5,18
2002,NASCAR Thunder 2002,"$7,679.25",1,0
2002,Star Wars Jedi Knight II: Jedi Outcast,"$7,679.25",1,0
2002,Halo: Combat Evolved,"$5,000.00",2,21
2002,Age of Empires,$100.00,1,3
2002,Super Smash Bros. Melee,$40.00,2,4
2002,Capcom vs. SNK 2,$0.00,1,3
2002,Marvel vs. Capcom 2,$0.00,1,3
2002,Super Street Fighter II Turbo,$0.00,1,3
2003,Counter-Strike,"$821,957.99",63,503
2003,StarCraft: Brood War,"$276,838.39",16,81
